link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/vivo-y400-4g/;Vivo Y400 4G;Rp3.199.000;AMOLED 6.67 inci;Qualcomm SM6225 Snapdragon 685 (6 nm);128 GB / 256 GB;8 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/poco-m7-plus-5g/;Xiaomi Poco M7 Plus 5G;Rp2.399.000;IPS LCD 6.9 inci;Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm);128 GB;6 GB / 8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 8 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/xiaomi-poco-m7-4g/;Xiaomi Poco M7 4G;Rp9.999.999;IPS LCD 6.9 inci;Qualcomm SM6225 Snapdragon 685 (6 nm);128 GB / 256 GB;6 GB / 8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 8 MP;Android 15;7.8
https://www.hallogsm.com/harga-hp/tecno-spark-go/;Tecno Spark Go;Rp1.899.000;IPS LCD 6.74 inci;Mediatek Dimensity 6400 (6 nm);128 GB;4 GB;Belakang 50 MP, Depan 5 MP;Android 15;8
https://www.hallogsm.com/harga-hp/vivo-v60/;Vivo V60;Rp6.899.000;AMOLED 6.77 inci;Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm);128 GB / 256 GB / 512 GB;8 GB / 16 GB;Belakang Triple 50 MP + 50 MP + 8 MP, Depan 50 MP;Android 15;8.4
https://www.hallogsm.com/harga-hp/honor-x7c/;Honor X7c;Rp9.999.999;TFT LCD 6.8 inci;Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm);256 GB;8 GB;Belakang Dual 50 MP + 2 MP, Depan 5 MP;Android 15;8
https://www.hallogsm.com/harga-hp/honor-x6c/;Honor X6c;Rp2.299.000;TFT LCD 6.61 inci;Mediatek Helio G81 Ultra (12 nm);128 GB / 256 GB;6 GB / 8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 5 MP;Android 15;7.4
https://www.hallogsm.com/harga-hp/vivo-iqoo-z10-turbo-plus/;Vivo iQOO Z10 Turbo Plus;Rp5.199.000;AMOLED 6.78 inci;Mediatek Dimensity 9400+ (3 nm);256 GB / 512 GB;12 GB / 16 GB;Belakang Dual 50 MP + 8 MP, Depan 16 MP;Android 15;8.4
https://www.hallogsm.com/harga-hp/honor-400-pro/;Honor 400 Pro;Rp10.399.000;AMOLED 6.7 inci;Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);256 GB / 512 GB;12 GB;Belakang Triple 200 MP + 50 MP + 12 MP, Depan Dual 50 MP + 2 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/infinix-hot-60i/;Infinix Hot 60i;Rp1.499.000;IPS LCD 6.7 inci;Mediatek Helio G81 Ultimate (12 nm);128 GB / 256 GB;4 GB / 8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 8 MP;Android 15;7.6
https://www.hallogsm.com/harga-hp/infinix-gt-30/;Infinix GT 30;Rp3.899.000;AMOLED 6.78 inci;Mediatek Dimensity 7400 (4 nm);128 GB / 256 GB;8 GB;Belakang Dual 64 MP + 8 MP, Depan 13 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/honor-400-smart/;Honor 400 Smart;Rp9.999.999;TFT LCD 6.77 inci;Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm);128 GB;4 GB;Belakang Dual 50 MP + 2 MP, Depan 5 MP;Android 15;8
https://www.hallogsm.com/harga-hp/xiaomi-redmi-15/;Xiaomi Redmi 15;Rp3.999.000;IPS LCD 6.9 inci;Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm);128 GB;4 GB;Belakang Dual 8 MP + 2 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/samsung-galaxy-a17/;Samsung Galaxy A17;Rp4.399.000;Super AMOLED 6.7 inci;Exynos 1330 (5 nm);128 GB / 256 GB;4 GB / 8 GB;Belakang Triple 50 MP + 5 MP + 2 MP, Depan 13 MP;Android 15;8
https://www.hallogsm.com/harga-hp/infinix-smart-10-plus/;Infinix Smart 10 Plus;Rp1.499.000;IPS LCD 6.67 inci;Unisoc T7250 (12 nm);128 GB;4 GB / 8 GB;Belakang 8 MP, Depan 8 MP;Android 15;7.6
https://www.hallogsm.com/harga-hp/infinix-smart-10-hd/;Infinix Smart 10 HD;Rp1.199.000;IPS LCD 6.6 inci;Belum Diketahui;64 GB;2 GB;Belakang 13 MP, Depan 8 MP;Android 14 (Go edition);7.2
https://www.hallogsm.com/harga-hp/realme-note-70t/;Realme Note 70T;Rp1.799.000;IPS LCD 6.74 inci;Unisoc T7250 (12 nm);64 GB / 128 GB / 256 GB;4 GB;Belakang Dual 50 MP + 13 MP, Depan 5 MP;Android 15;8
https://www.hallogsm.com/harga-hp/tecno-pova-7-ultra-5g/;Tecno Pova 7 Ultra 5G;Rp4.999.000;AMOLED 6.67 inci;Mediatek Dimensity 8350 Ultimate (4 nm);256 GB;12 GB;Belakang Dual 108 MP + 8 MP, Depan 13 MP;Android 15;8.4
https://www.hallogsm.com/harga-hp/tecno-pova-7-pro-5g/;Tecno Pova 7 Pro 5G;Rp3.399.000;AMOLED 6.78 inci;Mediatek Dimensity 7300 Ultimate (4 nm);128 GB / 256 GB;8 GB / 12 GB;Belakang Dual 64 MP + 8 MP, Depan 13 MP;Android 15;8
