link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/tecno-pova-7-5g/;Tecno Pova 7 5G;Rp2.999.000;IPS LCD 6.78 inci;Mediatek Dimensity 7300 Ultimate (4 nm);128 GB / 256 GB;8 GB;Belakang 50 MP, Depan 13 MP;Android 15;7.8
https://www.hallogsm.com/harga-hp/huawei-mate-70-rs-ultimate/;Huawei Mate 70 RS Ultimate;Rp27.999.000;Dual-layer LTPO OLED 6.9 inci;Kirin 9020;512 GB / 1 TB;16 GB;Belakang Triple 50 MP + 48 MP + 40 MP, Depan 13 MP;HarmonyOS 4.3;8.6
https://www.hallogsm.com/harga-hp/realme-p3-ultra-5g/;Realme P3 Ultra 5G;Rp5.299.000;AMOLED 6.83 inci;Mediatek Dimensity 8350 Ultra (4 nm);128 GB / 256 GB;8 GB / 12 GB;Belakang Dual 50 MP + 8 MP, Depan 16 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/samsung-galaxy-a26-5g/;Samsung Galaxy A26 5G;Rp5.199.000;Super AMOLED 6.7 inci;Exynos 1380 (5 nm);128 GB / 256 GB;6 GB / 8 GB;Belakang Triple 50 MP + 8 MP + 2 MP, Depan 13 MP;Android 15;7.8
https://www.hallogsm.com/harga-hp/xiaomi-redmi-a5-4g/;Xiaomi Redmi A5 4G;Rp1.199.000;IPS LCD 6.88 inci;Unisoc T7250 (12 nm);64 GB / 128 GB;4 GB / 6 GB;Belakang Single 32 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/realme-p3/;Realme P3;Rp3.299.000;AMOLED 6.67 inci;Qualcomm Snapdragon 6 Gen 4 (4 nm);128 GB / 256 GB;6 GB / 8 GB;Belakang Dual 50 MP + 2 MP, Depan 16 MP;Android 15;8
https://www.hallogsm.com/harga-hp/lenovo-idea-tab-pro/;Lenovo Idea Tab Pro;Rp5.299.000;IPS LCD 12.7 inci;Mediatek Dimensity 8300 (4 nm);128 GB / 256 GB;8 GB;Belakang Single 13 MP, Depan 8 MP;Android 14;8
https://www.hallogsm.com/harga-hp/xiaomi-redmi-note-14s/;Xiaomi Redmi Note 14S;Rp4.299.000;AMOLED 6.67 inci;Mediatek Helio G99 Ultra;256 GB;8 GB;Belakang Triple 200 MP + 8 MP + 2 MP, Depan 16 MP;Android 15;8
https://www.hallogsm.com/harga-hp/samsung-galaxy-f16/;Samsung Galaxy F16;Rp2.199.000;Super AMOLED 6.7 inci;Mediatek Dimensity 6300 (6 nm);128 GB;4 GB / 6 GB / 8 GB;Belakang Triple 50 MP + 5 MP + 2 MP, Depan 13 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/htc-wildfire-e5-plus/;HTC Wildfire E5 Plus;Rp1.999.000;IPS LCD 6.75 inci;Unisoc T606 (12 nm);128 GB;6 GB;Belakang Dual 50 MP + 2 MP, Depan 16 MP;Android 14;8
https://www.hallogsm.com/harga-hp/vivo-y29s/;Vivo Y29s;Rp9.999.999;IPS LCD 6.74 inci;Mediatek Dimensity 6300 (6 nm);256 GB;8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 5 MP;Android 15;8
